Buy?,Seed Company,Plant,Name,Location,Type,Priority,Days to maturity,Min DTM,Max DTM,Maturity from (Sowing v Transplant),Frost tolerant?,Height,Where to sow,When to sow weeks w.r.t last frost,When to transplant w.r.t last frost,Notes
FALSE,Pine Tree Garden Seeds,Leeks,Carantan,"bed, bag",3in diameter,2,100,100,,S,Y,,inside,8-10 before,,
FALSE,Pine Tree Garden Seeds,Sesame,Shirogoma,bag,white seed,2,85,85,,T,N,,inside,4-5 before,,
FALSE,Pine Tree Garden Seeds,Strawberries,Seascape,fence,live plant,2,,,,,N,,,,,
TRUE,Pine Tree Garden Seeds,Tools,Sluggo Plus,,,,,,,,,,,,,
FALSE,Baker Creek Seeds,"Flower, Bachelor's Buttons",Classic Artistic Mix,"bed, fence","pink, purple, white",2,,,,,N,,,,,
TRUE,Baker Creek Seeds,"Flower, Bachelor's Buttons",Fireworks,"bed, fence","red, white, blue",2,,,,,N,30in,,,,
FALSE,Baker Creek Seeds,"Flower, Basketflower",Pink Basketflower,"bed, fence",purple,3,110,110,,,N,2-6ft,,,,
FALSE,Baker Creek Seeds,"Beans, Bush",Dragon's Tongue,"bed, bag",7in pods,3,60,60,,S,Y,,outside,,,
TRUE,Baker Creek Seeds,"Cucumber, Bush",Dar Cucumber,"bed, bag",,3,60,60,,S,N,18in,outside,,,
FALSE,Baker Creek Seeds,Cucumber,Large Dutch Yellow,"bed, bag",,2,65,65,,,N,,,,,
FALSE,Baker Creek Seeds,Huckleberry,"Schwartzenbeeren ""black-berries""",bag,poisonous unripe,2,70,70,,,N,2-3ft,,,,
TRUE,Baker Creek Seeds,Melon,Rich Sweetness,bed,,3,,,,,N,,,,,
TRUE,Baker Creek Seeds,"Pepper, Hot",Sweet Bonnet,bed,"sweet, less heat",3,,,,,N,,,,,
TRUE,Baker Creek Seeds,"Pepper, Hot",Sugar Rush Peach,bed,,3,,,,,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Hot",Fish Pepper,bed,"hot, variegated",2,80,80,,T,N,2ft,,,,
FALSE,Baker Creek Seeds,"Pepper, Hot",Jigsaw Pepper,bed,"hot, purple",2,90,90,,T,N,,,,,
FALSE,Baker Creek Seeds,"Pepper, Hot",Trepadeira Werner,bed,"hot, fruity",2,60-70,60,70,T,N,3-5ft,,,,
TRUE,Baker Creek Seeds,"Pepper, Hot",Aji Mango,bed,"hot, sweet",3,80-90,80,90,T,N,,,,,25k SHU
